央视,#genre#
CCTV1,http://111.227.196.164:9901/tsfile/live/0001_1.m3u8
CCTV2,http://111.227.196.164:9901/tsfile/live/faacts/0002_1.m3u8
CCTV4,http://111.227.196.164:9901/tsfile/live/faacts/0004_1.m3u8
CCTV5,http://111.227.196.164:9901/tsfile/live/0005_1.m3u8
CCTV7,http://111.227.196.164:9901/tsfile/live/faacts/0007_1.m3u8
CCTV8,http://111.227.196.164:9901/tsfile/live/0008_1.m3u8
CCTV9,http://111.227.196.164:9901/tsfile/live/0009_1.m3u8
CCTV10,http://111.227.196.164:9901/tsfile/live/0010_1.m3u8
CCTV11,http://111.227.196.164:9901/tsfile/live/0011_1.m3u8
CCTV12,http://111.227.196.164:9901/tsfile/live/faacts/0012_1.m3u8
CCTV13,http://111.227.196.164:9901/tsfile/live/0013_1.m3u8
CCTV14,http://111.227.196.164:9901/tsfile/live/faacts/0014_1.m3u8
CCTV15,http://111.227.196.164:9901/tsfile/live/0015_1.m3u8
CCTV1,https://ling.uus10000.top/110.m3u8
CCTV2,https://ling.uus10000.top/720.m3u8
CCTV4,https://ling.uus10000.top/780.m3u8
CCTV13,https://ling.uus10000.top/800.m3u8

卫视,#genre#
河北卫视,http://111.227.196.164:9901/tsfile/live/0117_1.m3u8
东方卫视,http://111.227.196.164:9901/tsfile/live/0107_1.m3u8
湖南卫视,http://111.227.196.164:9901/tsfile/live/0128_1.m3u8
北京卫视,http://111.227.196.164:9901/tsfile/live/0122_1.m3u8
浙江卫视,http://111.227.196.164:9901/tsfile/live/0124_1.m3u8
江苏卫视,http://111.227.196.164:9901/tsfile/live/0127_1.m3u8
安徽卫视,http://111.227.196.164:9901/tsfile/live/0130_1.m3u8
天津卫视,http://111.227.196.164:9901/tsfile/live/0135_1.m3u8
山东卫视,http://111.227.196.164:9901/tsfile/live/0131_1.m3u8
辽宁卫视,http://111.227.196.164:9901/tsfile/live/0121_1.m3u8
云南卫视,http://111.227.196.164:9901/tsfile/live/0119_1.m3u8
河南卫视,http://111.227.196.164:9901/tsfile/live/0139_1.m3u8
黑龙江卫视,http://111.227.196.164:9901/tsfile/live/0143_1.m3u8
黑龙江卫视,http://115.149.139.141:10000/tsfile/live/1030_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://218.92.37.174:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://111.227.196.164:9901/tsfile/live/0123_1.m3u8
江西卫视,http://111.227.196.164:9901/tsfile/live/0138_1.m3u8
贵州卫视,http://111.227.196.164:9901/tsfile/live/0120_1.m3u8
东南卫视,http://111.227.196.164:9901/tsfile/live/0137_1.m3u8
湖北卫视,http://111.227.196.164:9901/tsfile/live/0132_1.m3u8
重庆卫视,http://111.227.196.164:9901/tsfile/live/0142_1.m3u8
广东卫视,http://111.227.196.164:9901/tsfile/live/0125_1.m3u8
广西卫视,http://111.227.196.164:9901/tsfile/live/0113_1.m3u8
吉林卫视,http://111.227.196.164:9901/tsfile/live/0116_1.m3u8
陕西卫视,http://111.227.196.164:9901/tsfile/live/0136_1.m3u8
山西卫视,http://111.227.196.164:9901/tsfile/live/0118_1.m3u8
内蒙古卫视,http://111.227.196.164:9901/tsfile/live/0109_1.m3u8
